id,property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant_room,store_room,furnishing_type,luxury_category,floor_category,img,society,near_locatio
95,house,sector 51,2.25,6.0,3.0,3+,Relatively New,900.0,0.0,0.0,unfurnished,Medium,Mid Floor,static/data/95.jpg,Independent,"{'Delhi International Airport': '34 minutes drive', 'AIIMS': '26 minutes drive', 'The Hive': '5 minutes drive', 'Gurugram Rd': 'In close proximity', 'JMS Marine Square': '8 minutes drive', 'Stymerra Chowk': '8 minutes drive', 'Sector 102 Dhankot': '5 minutes drive', 'Shri Hanuman Ji Mandir': '5 minutes drive', 'MCC Cricket Ground Dhankot': '6 minutes drive', 'KFG Sports Club': '8 minutes drive', 'Signature Hospital': '10 minutes drive', 'Prime Scholars Int. School': 'In close proximity'}"
96,flat,sector 86,1.5,3.0,3.0,1,Relatively New,1550.0,0.0,0.0,unfurnished,High,High Floor,static/data/96.jpg,Dlf The Skycourt,"{'Holiday Inn Hotel Sector 90': '1.7 Km', 'Rao Bharat Singh International School': '2.3 Km', 'Aarvy Healthcare': '3.2 Km', 'NH-8, Imt Manesar': '8.7 Km', 'Imt Manesar': '5.9 Km', 'Sapphire 83 Mall': '6.1 Km', 'National Tennis Academy Sector 98': '7.2 Km', 'DPG Institute of Technology': '13.3 Km', 'Indira Gandhi International Airport': '31.6 Km', 'Aapno Ghar': '9.4 Km'}"
97,house,sector 103,4.35,4.0,4.0,3+,Relatively New,3222.0,1.0,1.0,semifurnished,Medium,Low Floor,static/data/97.jpg,Satya The Hermitage,"{'Dwarka Expressway': '1.2 Km', 'S N International School': '1.2 Km', 'InfinityS Badminton Academy': '3.1 Km', 'Gurgaon Railway Station': '3.3 Km', 'Gurgaon Dreamz Mall': '4.6 Km', 'Metro Hospital, Palam Vihar': '6.4 Km', 'Delhi Jaipur Expressway': '7.7 Km', 'HUDA Market, Sector 14': '7.9 Km', 'F9 Go Karting Gurgaon': '8.4 Km', 'The NorthCap University': '8.8 Km', 'infinity Business Park': '9.4 Km', 'Hero Honda Chowk': '9.4 Km', 'SkyJumper Trampoline Park Gurgaon': '10.1 Km', 'Huda Metro Station': '11.6 Km', 'Indira Gandhi International Airport': '21.7 Km'}"
98,flat,sector 69,1.3,3.0,3.0,1,Relatively New,1419.0,0.0,0.0,unfurnished,Medium,High Floor,static/data/98.jpg,Tulip Violet,"{'Imperio School': '1.9 Km', 'Ektaa Hospitals': '3.9 Km', 'Vipul Trade Business Centre': '5 Km', 'Radisson Hotel Gurugram': '5.2 Km', 'Airia Mall Sector 68': '5.8 Km', 'SkyJumper Trampoline Park': '6.1 Km', 'Southern Peripheral Road': '6.1 Km', 'Golf Course Extension Rd': '6.3 Km', 'DPG Institute of Technology': '7.4 Km', 'Indira Gandhi International Airport': '30.3 Km'}"
99,flat,sector 82a,1.59,3.0,3.0,3+,Relatively New,1668.0,0.0,0.0,furnished,High,Mid Floor,static/data/99.jpg,Dlf The Primus,"{'Sapphire 83': '1Km', 'Cambridge Montessori': '1.4Km', 'Hyatt Regency': '1.9Km', 'NH 48': '2Km', 'Miracles Apollo Hospital': '3.3Km', 'Garhi Harsaru Junction': '9.6Km', 'IGI Airport': '26.9Km'}"
100,flat,sector 88a,1.65,3.0,3.0,3,New Property,1652.0,0.0,0.0,unfurnished,Medium,High Floor,static/data/100.jpg,Godrej Icon,"{""Saint Paul's School"": '1.8 Km Away', 'Indus valley Public School': '3.4 Km Away', 'MDS Public School': '4.9 Km Away', 'Genesis Hospital': '3.4 Km Away', 'Shri Balaji’s Multispeciality Hospital': '7 Km Away', 'Signature Super Speciality Hospital': '6.2 Km Away', 'Gurugram University': '15 Km Away', 'Hyatt Regency Gurgaon': '8.8 Km Away', 'Harsaru Village Bus Stop': '1.1 Km Away', 'Garhi Harsaru Junction': '3.2 Km Away', 'Health care pharmacy': '4.3 Km Away', 'Jadon Pharmacy': '5 Km Away', 'JMS Crosswalk': '3.1 Km Away', 'Essar Petrol Pump': '1.1 Km Away', 'Axis Bank ATM': '750 m Away'}"
101,flat,sector 81,2.28,3.0,3.0,3+,Relatively New,1750.0,1.0,0.0,furnished,Low,High Floor,static/data/101.jpg,Dlf The Ultima,"{'Miracles Apollo Cradle Hospital': '700 Meter', 'Manesar Road': '1 KM', 'Vatika Town Square-INXT': '2.7 KM', 'NH 48': '2.8 KM', 'Euro International School, Sec 84': '3.2 KM', 'Garhi Harsaru Junction': '7 KM', 'SGT University': '14.4 KM', 'Huda Metro Station (Gurugram)': '19.5 KM', 'Indira Gandhi Intl Airport': '29.4 KM'}"
102,flat,sector 90,1.6,4.0,4.0,3+,Relatively New,2139.0,1.0,0.0,unfurnished,Medium,Mid Floor,static/data/102.jpg,Dlf New Town Heights,"{'KLAY Play School': '1.7 KM', 'RHM Public School': '2.1 KM', 'Sanjeevani Hospital': '2.5 KM', 'Garhi Harsaru Junction': '5.9 KM', 'Spaze Business Park': '21.4 KM', 'Orchid Business Park': '21.5 KM', 'MG Road Metro Station': '25.6 KM', 'IGI Airport': '35.3 KM'}"
103,flat,sector 90,1.21,3.0,3.0,3+,Relatively New,1581.0,0.0,0.0,unfurnished,Medium,High Floor,static/data/103.jpg,Dlf Regal Gardens,"{'HDFC Bank, Pataudi Rd': '1.6 KM', 'Holiday Inn Gurugram Sector 90': '1.6 KM', 'SS Omnia, Sector 86': '1.9 KM', 'Canara Bank - Nawada Fatehpur': '2.2 KM', 'ICICI Bank ATM, Sector 86': '2.3 KM', 'RPS International School': '2.3 KM', 'Silver Streak Multi Speciality': '2.3 KM', 'Aarvy Healthcare Super Speciality': '2.9 KM', 'RHM Public School': '3 KM', 'Miracles Apollo Cradle Hospital': '3.2 KM', 'Minda Industries Nawada Fatehpur': '4.2 KM', 'Numberdar market, IMT Manesar': '4.2 KM', ""Sodhi's Supermarket, Sector 82"": '4.6 KM', 'M3M SCO Shop cum Office': '4.8 KM', 'State Bank of India': '5.7 KM'}"
104,flat,sector 90,1.25,3.0,3.0,3,Moderately Old,1437.0,1.0,0.0,unfurnished,Medium,High Floor,static/data/104.jpg,Dlf Regal Gardens,"{'HDFC Bank, Pataudi Rd': '1.6 KM', 'Holiday Inn Gurugram Sector 90': '1.6 KM', 'SS Omnia, Sector 86': '1.9 KM', 'Canara Bank - Nawada Fatehpur': '2.2 KM', 'ICICI Bank ATM, Sector 86': '2.3 KM', 'RPS International School': '2.3 KM', 'Silver Streak Multi Speciality': '2.3 KM', 'Aarvy Healthcare Super Speciality': '2.9 KM', 'RHM Public School': '3 KM', 'Miracles Apollo Cradle Hospital': '3.2 KM', 'Minda Industries Nawada Fatehpur': '4.2 KM', 'Numberdar market, IMT Manesar': '4.2 KM', ""Sodhi's Supermarket, Sector 82"": '4.6 KM', 'M3M SCO Shop cum Office': '4.8 KM', 'State Bank of India': '5.7 KM'}"
105,flat,sector 108,0.93,2.0,3.0,3,Relatively New,1161.0,0.0,0.0,unfurnished,Medium,Mid Floor,static/data/105.jpg,Experion The Heartsong,"{'Galleria 108 Mall': '0.65 Km', 'The Shikshiyan School': '0.75 Km', 'Dwarka Expressway': '3 Km', 'Manipal Hospital': '8.5 Km', 'SkyJumper Trampoline Park': '12.1 Km', 'Vivanta New Delhi, Dwarka': '13.3 Km', 'Fun N Food Village': '14.1 Km', 'Central Peripheral Road': '14.8 Km', 'Indira Gandhi International Airport': '20.5 Km'}"
106,flat,sector 61,2.24,3.0,3.0,2,New Property,1402.0,0.0,0.0,unfurnished,Medium,Mid Floor,static/data/1.jpg,Smart World Orchard,"{'Golf Course Ext Road': '1.1 KM', 'Sector 55-56 Metro station': '1.9 KM', 'Bestech Central Square Mall': '2.5 KM', 'ORCHIDS The International School': '3.1 Km', 'Sushant University': '3.5 KM', 'Marengo Asia Hospitals': '8.8 KM', 'Badshahpur Sohna Rd Hwy': '12.5 KM', 'Gurgaon Railway Station': '16 KM', 'Indira Gandhi Intl Airport': '19.3 KM'}"
107,flat,sector 113,1.93,3.0,3.0,2,Under Construction,1429.0,0.0,0.0,unfurnished,Medium,Mid Floor,static/data/2.jpg,La Vida By Tata Housing,"{'Bajghera Road': '550 Meter', ""Rion's Hospital"": '3.1 KM', 'Dwarka Expy': '3.8 KM', 'Bijwasan Railway Station': '4.5 KM', 'Euro International School, Sector- 109.': '6.1 KM', 'The NorthCap University': '6.7 KM', 'Dwarka Sector 21': '7.4 KM', 'Pacific D21 Mall': '7.5 KM', 'Indira Gandhi Intl Airport': '15.6 KM'}"
108,flat,sector 104,2.6,4.0,4.0,3+,Relatively New,3064.0,1.0,0.0,semifurnished,High,High Floor,static/data/3.jpg,Ats Triumph,"{'Dhanwapur Road': '1.9 Km', 'Dwarka Expressway': '2.9 Km', 'Govt. PG College': '3 Km', 'Shree Krishna Hospital': '3.4 Km', 'Delhi Public School': '3.5 Km', 'Basai Dhankot': '4.3 Km', 'The Esplanade Mall': '4.8 Km', 'Park Inn': '6.9 Km', 'The NorthCap University': '9.8 Km', ""Oyster's Water Park"": '12 Km', 'IFFCO Chowk Metro Station': '12.2 Km', 'DLF Golf and Country Club': '15.5 Km', 'The Executive Centre': '16.4 Km', 'Indira Gandhi International Airport': '22.1 Km'}"
109,house,sector 112,7.46,4.0,4.0,3+,Relatively New,6350.0,1.0,0.0,semifurnished,Medium,Low Floor,static/data/4.jpg,Experion Windchants,"{'First Step Play School': '0.16 Km', 'Jai Sai Ram Hospital': '0.6 Km', 'Sri Ma Montessori International': '1.4 Km', 'Dwaraka Expressway': '1.2 Km', 'Gurgaon Railway Station': '5.2 Km', 'Ansal Plaza': '5.3 Km', 'IGI Airport': '16.4 Km', 'Park Hospital': '3.7 km'}"
110,flat,sector 22,4.8,4.0,6.0,3+,New Property,2778.0,1.0,0.0,furnished,Low,Mid Floor,static/data/5.jpg,Ambience Creacions,"{'Old Delhi Gurgaon Road': '61 Meter', 'Hyatt Place Gurgaon Udyog Vihar': '650 Meter', 'Rotary Public School': '850 Meter', 'Candor Techspace': '1.3 KM', 'The NorthCap University': '2.6 KM', 'Hamoni Golf Camp': '2.7 KM', 'Fun N Food WaterPark': '3.2 KM', 'Manipal Hospital, Palam Vihar': '3.4 KM', 'Gurgaon - Delhi Expy': '4.8 KM', 'Ambience Mall': '5.3 KM', 'Moulsari Avenue': '6.2 KM', 'Gurgaon Railway Station': '8.3 KM', 'Tau DeviLal Sports Complex': '8.8 KM', 'Indira Gandhi International Airport': '11 KM'}"
111,flat,sector 108,0.97,2.0,2.0,3,Relatively New,1167.0,1.0,0.0,unfurnished,High,Mid Floor,static/data/6.jpg,Experion The Heartsong,"{'Galleria 108 Mall': '0.65 Km', 'The Shikshiyan School': '0.75 Km', 'Dwarka Expressway': '3 Km', 'Manipal Hospital': '8.5 Km', 'SkyJumper Trampoline Park': '12.1 Km', 'Vivanta New Delhi, Dwarka': '13.3 Km', 'Fun N Food Village': '14.1 Km', 'Central Peripheral Road': '14.8 Km', 'Indira Gandhi International Airport': '20.5 Km'}"
112,flat,sector 92,1.7,3.0,4.0,2,Under Construction,1475.0,0.0,0.0,unfurnished,Medium,Low Floor,static/data/7.jpg,Dlf Garden City Floors,"{'Pranavananda International School': '2 Km', 'Greenway Hospital': '3 Km', 'Holiday Inn Gurugram Sector 90': '3.1 Km', 'National Tennis Academy': '5 Km', 'IMT Manesar': '6.1 Km', 'Dwarka Expressway': '6.6 Km', 'NH-8': '7.7 Km', 'Sapphire 83 Mall': '7.7 Km', 'DPG Institute of Technology': '14.7 Km', 'Indira Gandhi International Airport': '32.4 Km'}"
113,house,sector 26,6.75,3.0,3.0,3,Moderately Old,2430.0,0.0,0.0,unfurnished,Low,Low Floor,static/data/8.jpg,Independent,"{'Delhi International Airport': '34 minutes drive', 'AIIMS': '26 minutes drive', 'The Hive': '5 minutes drive', 'Gurugram Rd': 'In close proximity', 'JMS Marine Square': '8 minutes drive', 'Stymerra Chowk': '8 minutes drive', 'Sector 102 Dhankot': '5 minutes drive', 'Shri Hanuman Ji Mandir': '5 minutes drive', 'MCC Cricket Ground Dhankot': '6 minutes drive', 'KFG Sports Club': '8 minutes drive', 'Signature Hospital': '10 minutes drive', 'Prime Scholars Int. School': 'In close proximity'}"
114,flat,sector 90,1.2,3.0,3.0,3+,Moderately Old,2144.0,1.0,0.0,unfurnished,Medium,Mid Floor,static/data/9.jpg,Dlf New Town Heights,"{'KLAY Play School': '1.7 KM', 'RHM Public School': '2.1 KM', 'Sanjeevani Hospital': '2.5 KM', 'Garhi Harsaru Junction': '5.9 KM', 'Spaze Business Park': '21.4 KM', 'Orchid Business Park': '21.5 KM', 'MG Road Metro Station': '25.6 KM', 'IGI Airport': '35.3 KM'}"
115,flat,sector 70,1.65,3.0,5.0,3,Relatively New,1527.0,1.0,0.0,unfurnished,High,Mid Floor,static/data/10.jpg,Shree Vardhman Victoria,"{'Golf Course Extn Road': '200 Meter', 'Sohna Road': '500 Meter', 'Tulip Violet Society, Sector 69': '1.8 KM', 'Spaze Palazo, Golf Course Ext Rd': '3.3 KM', 'Federal Bank Sector 71': '3.4 KM', 'Kunskapsskolan International': '3.4 KM', 'Southern Peripheral Rd, Gurugram': '3.5 KM', 'Ektaa Hospitals  Main Sohna Rd': '4 KM', 'Central Bank Of India Sohna Rd': '4.2 KM', 'Sanjeevani Hospital - Child Specialist': '4.2 KM', 'VATIKA BUSINESS PARK Sohna Rd': '4.2 KM', 'IndianOil, Hasanpur': '4.5 KM', 'The Medicity, Spaze iTech Park': '5 KM', 'Axis Bank, Sohna Rd': '5.6 KM', 'Airia Mall': '5.9 KM'}"
116,house,sector 13,1.5,2.0,7.0,3,Moderately Old,1300.0,0.0,0.0,unfurnished,Low,Mid Floor,static/data/11.jpg,Independent,"{'Delhi International Airport': '34 minutes drive', 'AIIMS': '26 minutes drive', 'The Hive': '5 minutes drive', 'Gurugram Rd': 'In close proximity', 'JMS Marine Square': '8 minutes drive', 'Stymerra Chowk': '8 minutes drive', 'Sector 102 Dhankot': '5 minutes drive', 'Shri Hanuman Ji Mandir': '5 minutes drive', 'MCC Cricket Ground Dhankot': '6 minutes drive', 'KFG Sports Club': '8 minutes drive', 'Signature Hospital': '10 minutes drive', 'Prime Scholars Int. School': 'In close proximity'}"
117,flat,sector 84,0.69,2.0,2.0,3+,Relatively New,1222.0,0.0,0.0,unfurnished,Medium,Mid Floor,static/data/12.jpg,Antriksh Heights,"{'Society Park': '2 mins', 'MatriKiran High School': '11 mins', 'Old Bengali Market': '4 mins'}"
118,flat,sector 49,1.69,3.0,3.0,3,Moderately Old,2178.0,0.0,0.0,unfurnished,Medium,Mid Floor,static/data/13.jpg,Vatika City,"{""Guls' Kitchen"": '1.1km', 'The Nook': '3.1km', 'Open Tap': '3km', 'Frescos': '3.3km', 'Subway': '3km', 'BOB ATM': '3km', 'PNB ATM': '3.1km', 'HDFC bank ATM': '1km', 'YES bank ATM': '3.3km', 'Citibank ATM': '1.9km', 'Gurugram Hospital': '2.5km', 'Ektaa Hospital': '2.1km', 'Park Hospital': '3km', 'Polaris Hospital': '4km', 'Govind Hospital': '3.6km'}"
119,flat,sector 67,4.5,4.0,4.0,3+,Relatively New,3160.0,1.0,0.0,semifurnished,Low,Low Floor,static/data/14.jpg,Ireo Victory Valley,"{'AIPL Joy Street Mall': '1.1 Km', 'Alpine Convent School': '1.8 Km', 'Golf Course Extension Road': '3.3 Km', 'CK Birla Hospital': '4.5 Km', 'PVR Drive in Theatre': '4.8 Km', 'Radisson Hotel Sohna Road': '5 Km', 'SkyJumper Trampoline Park': '5.6 Km', 'DPG Institute of Technology': '8.3 Km', 'iON Digital Zone (Gurugram)': '8.3 Km', 'HUDA Mini Golf Course': '9.2 Km', 'Indira Gandhi International Airport': '24 Km'}"
120,flat,sector 107,0.4,2.0,2.0,1,Relatively New,577.0,0.0,0.0,semifurnished,Medium,Mid Floor,static/data/15.jpg,Signature Global Solera,"{'Dwarka Expressway': '5.2 Km', 'Chirag Hospital': '5.9 Km', ""Colonel's Central Academy"": '6.8 Km', 'Gurgaon Dreamz Mall': '6.9 Km', 'The NorthCap University': '10.4 Km', 'F9 Go Karting Gurgaon': '10.9 Km', 'SkyJumper Trampoline Park Gurgaon': '12.4 Km', 'Trident Hotel Gurgaon': '15.5 Km', 'Fun N Food Village': '15.9 Km', 'DLF Golf and Country Club': '17.4 Km', 'Indira Gandhi International Airport': '21.8 Km'}"
121,flat,sector 76,1.9,3.0,3.0,2,Under Construction,1513.0,0.0,0.0,unfurnished,Medium,Low Floor,static/data/16.jpg,Whiteland Blissville,"{'Vega School': '650 m', 'Indian School of Hospitality': '3.6 Km', 'Vatika City Centre': '3.5 Km', 'Aatish Hospital': '2.1 Km', 'Hyatt Regency Gurgaon': '3.6 Km', 'NH 48': '1.9 Km', 'Info Technology Park Phase 2': '7.7 Km', 'Huda Metro Station': '16 Km', 'Garhi Harsaru Junction': '11 Km', 'IGI Airport': '27.9 Km', 'Southern Peripheral Rd': '4.9 Km'}"
122,flat,sector 33,1.4,3.0,3.0,3,Under Construction,588.0,0.0,0.0,unfurnished,Medium,Low Floor,static/data/17.jpg,Central Park Flower Valley,"{'Marigold Secondary School': '3 mins', 'Alpine Convent School': '5 mins', 'Medanta Hospital': '6 mins', 'Alpine Hospital': '6 mins', 'Pushpanjali Hospital': '8 mins', 'Golf Course Extension Rd': '10 mins', 'Country Inn': '10 mins', 'Westin': '10 mins', 'The Millenium School': '10 mins', 'Rajiv Chowk - Sohna Highway': '15 mins', 'KMP corridor': '15 mins', 'Central Park Resorts': '20 mins', 'De Adventure Park': '25 mins', 'GD Goenka University': '30 mins', 'IGI Airport': '35 mins'}"
123,flat,gwal pahari,1.38,2.0,2.0,2,Under Construction,1130.0,0.0,0.0,semifurnished,Medium,Mid Floor,static/data/18.jpg,Suncity Vatsal Valley,"{'Faridabad - Gurgaon Road': '170 Meter', ""Lingaya's Lalita Devi Institute"": '1.6 KM', 'ASF Insignia SEZ': '3.2 KM', 'Unicosmos School': '5.7 KM', 'Banjara Market Gurugram': '5.9 KM', 'Sushant University': '6.5 KM', 'Sector 55-56 Metro Station': '6.6 KM', 'Central Plaza Mall': '8.9 KM', 'Paras Hospitals, Gurgaon': '8.9 KM', 'Badshahpur Sohna Rd Hwy': '15.3 KM', 'Gurgaon Railway Station': '19.5 KM', 'Indira Gandhi Intl Airport': '21.3 KM'}"
124,flat,sector 102,1.82,3.0,4.0,3+,Moderately Old,1757.0,1.0,0.0,unfurnished,Medium,High Floor,static/data/19.jpg,Conscient Heritage Max,"{'Gurugram Road': '220 Meter', 'Ocus Medley Mall': '700 Meter', 'Dwarka Expy': '1.3 KM', 'Basai Dhankot Railway Station': '1.6 KM', 'Prime Scholars International School': '2.9 KM', 'The Signature Advanced Super Speciality': '3.3 KM', 'The Esplanade Mall': '4.4 KM', 'Nehru Stadium': '6.6 KM', 'DPG Degree College': '7.6 KM', 'SkyJumper Trampoline Park Gurgaon': '11.3 KM', 'Holiday Inn Gurugram Sector 90': '11.9 KM', 'Hamoni Golf Camp': '13.1 KM', 'Huda Metro Station': '13.9 KM', 'Altrade Business Centre': '15.9 KM', 'Indira Gandhi Intl Airport': '25.3 KM'}"
125,flat,sector 70,1.65,3.0,3.0,2,Relatively New,2167.0,0.0,0.0,unfurnished,Medium,Mid Floor,static/data/20.jpg,Shree Vardhman Victoria,"{'Golf Course Extn Road': '200 Meter', 'Sohna Road': '500 Meter', 'Tulip Violet Society, Sector 69': '1.8 KM', 'Spaze Palazo, Golf Course Ext Rd': '3.3 KM', 'Federal Bank Sector 71': '3.4 KM', 'Kunskapsskolan International': '3.4 KM', 'Southern Peripheral Rd, Gurugram': '3.5 KM', 'Ektaa Hospitals  Main Sohna Rd': '4 KM', 'Central Bank Of India Sohna Rd': '4.2 KM', 'Sanjeevani Hospital - Child Specialist': '4.2 KM', 'VATIKA BUSINESS PARK Sohna Rd': '4.2 KM', 'IndianOil, Hasanpur': '4.5 KM', 'The Medicity, Spaze iTech Park': '5 KM', 'Axis Bank, Sohna Rd': '5.6 KM', 'Airia Mall': '5.9 KM'}"
126,flat,sector 102,1.42,3.0,3.0,3,Relatively New,1315.0,1.0,0.0,unfurnished,Medium,Mid Floor,static/data/21.jpg,Emaar Gurgaon Greens,"{'JMS Marine Square Mall': '1.5 Km', 'Vibrant Hospital': '1.6 Km', 'Prime Scholars Int. School': '2.5 Km', 'Ramgarh Farms & Resort': '5.8 Km', 'Dwarka Expressway': '6.1 Km', 'DPG Institute of Technology': '8.7 Km', 'Basai Road': '6.1 Km', 'SkyJumper Trampoline Park': '10.5 Km', 'IMT Manesar': '16 Km', 'Indira Gandhi International Airport': '25.7 Km'}"
127,flat,sector 86,0.42,2.0,2.0,1,New Property,557.0,1.0,0.0,unfurnished,Medium,Low Floor,static/data/22.jpg,Pyramid Urban Homes 2,"{'Aarvy Healthcare Super Speciality': '1.8 KM', ""St. Xavier's High School"": '2 KM', 'Minda Industries  Corporate Office': '3.1 KM', 'Sapphire 83 Mall': '3.2 KM', 'Rampura Flyover, Naurangpur Rd': '3.7 KM', 'Nakhrola Stadium': '3.8 KM', 'Manesar toll plaza - Kherki Daula': '6.1 KM', 'Imt Manesar, Gurugram': '7.7 KM', 'Holiday Inn': '3 km', 'Indira Gandhi Intl Airport': '29.4 Km'}"
128,flat,sector 65,2.75,4.0,4.0,3,Relatively New,1975.0,1.0,0.0,semifurnished,Medium,Mid Floor,static/data/23.jpg,Emaar Mgf Emerald Floors Premier,"{'WorldMark Gurgaon': '400 m', 'Sohna Road': '3.2 Km', 'Lemon Tree Hotel': '3.9 Km', 'CK Birla Hospital': '5.2 Km', 'Golf Course Road': '5.6 Km', 'Delhi International Airport': '23.4 Km'}"
129,flat,sector 91,1.4,3.0,3.0,3+,Relatively New,1700.0,0.0,0.0,unfurnished,Medium,Mid Floor,static/data/24.jpg,Tarc Maceo,"{'Silver Streak Multi Speciality Hospital': '1.3 Km', 'Rao Bharat Singh International School': '1.8 Km', 'Holiday Inn Sector 90': '2.1 Km', 'Manish Gallexie 91': '2.2 Km', 'IMT Manesar': '5.2 Km', 'National Tennis Academy': '5.8 Km', 'Manesar Golf Course': '5.9 Km', 'Dwarka Expressway': '6.2 Km', 'Dronacharya College of Engineering': '9.2 Km', 'Indira Gandhi International Airport': '34.3 Km'}"
130,flat,sector 65,5.9,3.0,3.0,3,Moderately Old,3043.0,0.0,0.0,furnished,Low,Mid Floor,static/data/25.jpg,M3m Golfestate,"{'Shiksha Bharti Public School': '2.3 Km', 'Holiday Inn Express Gurugram': '2.7 Km', 'Park Hospital': '2.9 Km', 'Gurugram University': '4.1 Km', 'NH 248A': '5.2 Km', 'Sector 54 Chowk Metro Station': '7.5 Km', 'Sahara Mall': '14.1 Km', 'Garhi Harsaru Junction': '18.9 Km', 'Indira Gandhi International Airport': '24.2 Km'}"
131,flat,sector 81,0.82,2.0,2.0,3,Relatively New,955.0,0.0,0.0,unfurnished,Medium,Low Floor,static/data/26.jpg,Signature Global City 81,"{""St. Xavier's High School"": '0.9 Km', 'Miracles Apollo Cradle': '1.6 Km', 'Ambience Mall New': '2.3 Km', 'Nakhrola Stadium': '2.3 Km', 'Dwarka Expressway': '4.3 Km', 'NH8': '4.5 Km', 'Hyatt Regency Gurgaon': '5.6 Km'}"
132,flat,sector 81,3.3,4.0,5.0,3+,Relatively New,3070.0,1.0,0.0,semifurnished,High,Mid Floor,static/data/27.jpg,Bestech Park View Grand Spa,"{""St. Xavier's High School"": '0.65 Km', 'Spectra Hospital': '0.75 Km', 'Sapphire 83 Mall': '2.5 Km', 'Hyatt Regency Gurgaon': '4.9 Km', 'NH-8, IMT Manesar': '5.4 Km', 'Dwarka Expressway': '5.6 Km', 'IMT Manesar': '8.1 Km', 'National Tennis Academy': '9.7 Km', 'SkyJumper Trampoline Park': '13.5 Km', 'Indira Gandhi International Airport': '30 Km'}"
133,flat,sector 69,1.8,4.0,5.0,3+,Relatively New,2200.0,1.0,0.0,unfurnished,High,Mid Floor,static/data/28.jpg,Tulip Purple,"{'Indus World School': '750 m', 'Omaxe Gurgaon Mall': '4.2 km', 'Park Hospital': '6.1 km', 'Gurugram University': '7.2 km', 'Badshahpur Sohna Rd Hwy, Sector 68': '7.7 km', 'Indira Gandhi Intl Airport': '23.4 km', 'Infinity Business Park': '9.4 km', 'Gurgaon Railway Station': '12.8 km', 'Sector 55-56 metro station': '9.2 km', 'Park inn': '9.3 km', ""Oyster's Water Park"": '11.6 km', 'Nehru Stadium': '8.6 km'}"
134,flat,sector 58,4.85,4.0,5.0,3,Relatively New,3182.0,1.0,0.0,semifurnished,Low,High Floor,static/data/29.jpg,Ireo The Grand Arch,"{'International Tech Park Gurgaon': '1.5 Km', 'Grand Hyatt Gurgaon': '1.4 Km', 'W Pratiksha Hospital': '3.7 Km', 'Shalom Presidency School': '3.7 Km', 'Sector 55-56 Rapid Metro': '3.7 Km', 'Paras Trinity Mall': '3.5 Km', 'Sushant University': '5.3 Km', 'Rajesh Pilot Road': '2.9 Km', 'Jinga Lala Theme Park Gurgaon Delhi': '2.7 Km', 'Indira Gandhi International Airport': '21.1 Km', 'TERI Golf Course': '5.1 Km', 'Tau DeviLal Sports Complex': '11.7 Km'}"
135,flat,sector 77,1.79,3.0,3.0,3,New Property,1600.0,1.0,0.0,semifurnished,Low,Low Floor,static/data/30.jpg,Emaar Palm Heights,"{'Arvy Hospital': '6.5 Kms', 'DPS': '4.0 Kms', ""St. Xavier's High School"": '5.7 Kms', 'Matrikiran School': '4.7 Kms', 'DLF Cyber City': '21.5 Kms', 'Vatika Town Square': '2 Kms'}"
136,flat,sector 81,2.29,3.0,4.0,3+,Relatively New,1900.0,1.0,0.0,furnished,Medium,High Floor,static/data/31.jpg,Dlf The Ultima,"{'Miracles Apollo Cradle Hospital': '700 Meter', 'Manesar Road': '1 KM', 'Vatika Town Square-INXT': '2.7 KM', 'NH 48': '2.8 KM', 'Euro International School, Sec 84': '3.2 KM', 'Garhi Harsaru Junction': '7 KM', 'SGT University': '14.4 KM', 'Huda Metro Station (Gurugram)': '19.5 KM', 'Indira Gandhi Intl Airport': '29.4 KM'}"
137,house,sector 1,1.85,4.0,3.0,2,Moderately Old,1284.0,0.0,0.0,unfurnished,Low,Mid Floor,static/data/32.jpg,Independent,"{'Delhi International Airport': '34 minutes drive', 'AIIMS': '26 minutes drive', 'The Hive': '5 minutes drive', 'Gurugram Rd': 'In close proximity', 'JMS Marine Square': '8 minutes drive', 'Stymerra Chowk': '8 minutes drive', 'Sector 102 Dhankot': '5 minutes drive', 'Shri Hanuman Ji Mandir': '5 minutes drive', 'MCC Cricket Ground Dhankot': '6 minutes drive', 'KFG Sports Club': '8 minutes drive', 'Signature Hospital': '10 minutes drive', 'Prime Scholars Int. School': 'In close proximity'}"
138,flat,sector 110,4.0,4.0,4.0,3,New Property,3350.0,0.0,0.0,unfurnished,Medium,High Floor,static/data/33.jpg,Indiabulls Enigma,"{'Dwarka Expressway': '0.1 Km', 'InfinityS Badminton Academy': '1.1 Km', 'Sanskar Bharti Public School': '1.5 Km', 'Gurgaon Railway Station': '3.4 Km', 'Gurgaon Dreamz Mall': '4.7 Km', 'Manipal Hospital, Gurugram': '5.7 Km', 'The NorthCap University': '6.3 Km', 'HUDA Market, Sector 14': '8 Km', 'Delhi Gurgaon Expressway': '8.4 Km', 'F9 Go Karting Gurgaon': '9.2 Km', 'SCC Rooftop Drive-In': '10.2 Km', 'Dwarka Sector 21 Metro Station': '10.4 Km', 'The Oberoi, Gurgaon': '11.3 Km', 'Fun N Food Village': '12.9 Km', 'Indira Gandhi International Airport': '18.9 Km'}"
